Account,ChkRef,Debit,Credit,Date,Description
101124935,,,118.38,8/19/2025,"DoorDash, Inc. S Broadway ST-Z6E7Z0N0V8O4"
101124935,,30.00,,8/19/2025,"CHK# 00 AMT $30.77, NSF CHARGE"
101124935,346,306.00,,8/19/2025,Check #346
101124935,,2000.00,,8/19/2025,Drake Management WEB PMTS 69K9DD
101124935,,2.49,,8/19/2025,"AppFolio, Inc. F WEB PMTS RYTRD5"
101124935,,30.77,,8/19/2025,2025-08-14 DoorDash Capital balance_transaction_338c06e4-3839-4ea3-b769-e8b53c23
101124935,,30.00,,8/19/2025,"CHK# 00 AMT $4.76, NSF CHARGE"
101124935,,207.71,,8/19/2025,ALLSTATE INS CO PREMIUM 974883966
101124935,,30.00,,8/19/2025,"CHK# 00 AMT $207.71, NSF CHARGE"
101124935,,10.76,,8/18/2025,2025-08-12 DoorDash Capital balance_transaction_c067c983-b08a-4b8f-ba46-2641da4e
101124935,,,40.58,8/18/2025,"DoorDash, Inc. S Broadway ST-I4V8W6Z4P2O3"
101124935,345,811.48,,8/18/2025,Check #345
101124935,,,2500.00,8/18/2025,Square Inc SQ250818 T3GZ9057Z93C453
101124935,,443.19,,8/18/2025,SANTANDER BILLPAY XXXXX1477
101124935,,117.00,,8/18/2025,CAPITAL ONE MOBILE PMT CA0749DD900B071
101124935,,54.36,,8/18/2025,Ambetter HEALTH INS 000000286346768
101124935,,,70.60,8/15/2025,"DoorDash, Inc. S Broadway ST-O3F8H2P3N1E9"
101124935,,17.88,,8/15/2025,2025-08-11 DoorDash Capital balance_transaction_eb260488-112f-454b-beee-4fc42799
101124935,,27.74,,8/14/2025,2025-08-10 DoorDash Capital balance_transaction_fd282d56-d45a-4cc1-b92f-94ab45ee
101124935,,45.00,,8/14/2025,CAPITAL ONE CRCARDPMT 43VJTB4POHR7FQ0
101124935,,,121.15,8/14/2025,"DOORDASH, INC. S BROADWAY ST-I1X7J0E2T8S2"
101124935,,,60.00,8/13/2025,NSF Fee refund
101124935,,,96.05,8/13/2025,"DoorDash, Inc. S Broadway ST-L4R6U8F7A8T1"
101124935,,1859.10,,8/13/2025,Dawn Food Produc 5177894404 XXXXX9831
101124935,,49.69,,8/13/2025,2025-08-09 DoorDash Capital balance_transaction_887b1397-17a2-4f7d-b7d9-761c4c0a
101124935,,,2000.00,8/13/2025,Square Inc SQ250813 T3ST5Z24501JPWT
101124935,,,650.00,8/13/2025,117037555 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 8/13/25 at 17:06
101124935,,,119.00,8/12/2025,"DoorDash, Inc. S Broadway ST-A9J2Z6S5P7W6"
101124935,,30.00,,8/12/2025,"CHK# 344 AMT $618.92, NSF CHARGE"
101124935,344,618.92,,8/12/2025,Check #344
101124935,,12.27,,8/12/2025,2025-08-06 DoorDash Capital balance_transaction_7da2e42c-13d2-49c0-8df4-5bbf8648
101124935,,44.48,,8/12/2025,2025-08-08 DoorDash Capital balance_transaction_474522bc-5592-44f7-befb-11776c15
101124935,,30.00,,8/12/2025,"CHK# 343 AMT $440.08, NSF CHARGE"
101124935,,23.67,,8/12/2025,2025-08-07 DoorDash Capital balance_transaction_97617409-7da5-49c5-8a4a-e78d41a9
101124935,343,440.08,,8/12/2025,Check #343
101124935,,100.00,,8/11/2025,CAPITAL ONE MOBILE PMT CA08631463AD8DA
101124935,,,32.63,8/11/2025,"DoorDash, Inc. S Broadway ST-Q7R7G4X9Y9D8"
101124935,,18.11,,8/11/2025,2025-08-05 DoorDash Capital balance_transaction_4272bcea-d2a0-4172-808c-2b9ddc30
101124935,,,65.09,8/8/2025,"DoorDash, Inc. S Broadway ST-U8J4J8Q9Y8E8"
101124935,,,1000.00,8/8/2025,Square Inc SQ250808 T30Q4C61WY59NWV
101124935,,15.46,,8/8/2025,2025-08-04 DoorDash Capital balance_transaction_13c4bf0b-c7d1-42e4-a576-0848cd75
101124935,,,2500.00,8/8/2025,Square Inc SQ250808 T3S9X6M31JWPSZZ
101124935,,81.03,,8/8/2025,CAPITAL ONE MOBILE PMT CA055C95B981B43
101124935,,3500.00,,8/8/2025,110875011 Transfer to LOAN XXXXXX4969 on 8/08/25 at 7:32
101124935,,,46.81,8/7/2025,"DoorDash, Inc. S Broadway ST-A0P9I2C4C5P0"
101124935,,26.87,,8/7/2025,2025-08-03 DoorDash Capital balance_transaction_16d68b07-f933-487b-b8de-062d62da
101124935,,,500.00,8/6/2025,Square Inc SQ250806 T3A0RZEP02PDH60
101124935,,23.00,,8/6/2025,2025-08-02 DoorDash Capital balance_transaction_5fcebd89-7b5d-4763-96a1-7a7e2c51
101124935,,,30.00,8/6/2025,NSF Fee refund
101124935,,,99.56,8/6/2025,"DoorDash, Inc. S Broadway ST-O3H1T6A0R1J5"
101124935,,1751.95,,8/6/2025,Metro 101 RENT 245427377
101124935,,300.00,,8/6/2025,110147208 Transfer to CHECKING XXXXXX8098 on 8/06/25 at 18:05
101124935,,65.00,,8/6/2025,CAPITAL ONE CRCARDPMT 43TV2BYHPEBLL5O
101124935,,,145.50,8/5/2025,"DoorDash, Inc. S Broadway ST-G1U2G2W9Z2Q6"
101124935,,,2500.00,8/5/2025,Square Inc SQ250805 T3NYYSAWFQMT82S
101124935,,13.03,,8/5/2025,2025-07-30 DoorDash Capital balance_transaction_1d4d3cb4-1505-4e03-b566-72d5b51c
101124935,,25.19,,8/5/2025,2025-07-31 DoorDash Capital balance_transaction_92e1e667-1e69-4b72-82d0-9e705243
101124935,,47.86,,8/5/2025,2025-08-01 DoorDash Capital balance_transaction_9a1014cb-30c5-4490-b283-3d075ed3
101124935,,30.00,,8/4/2025,"CHK# 342 AMT $745.88, NSF CHARGE"
101124935,,180.44,,8/4/2025,CAPITAL ONE MOBILE PMT CA072E0B166D9A7
101124935,,,76.36,8/4/2025,"DoorDash, Inc. S Broadway ST-D4N8F3O6C7E2"
101124935,,,80.00,8/4/2025,114041763 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 8/04/25 at 14:04
101124935,,100.00,,8/4/2025,CAPITAL ONE MOBILE PMT CA080855D27B733
101124935,342,745.88,,8/4/2025,Check #342
101124935,,32.97,,8/4/2025,2025-07-29 DoorDash Capital balance_transaction_8bd973d3-efde-460d-a848-ca570288
101124935,,117.00,,8/4/2025,CAPITAL ONE CRCARDPMT 43T0NMUS4MLV7RQ
101124935,,31.50,,8/1/2025,2025-07-28 DoorDash Capital balance_transaction_df96da9e-e99c-4b8b-81b5-ba521fbe
101124935,,,90.00,8/1/2025,Deposit
101124935,,,120.18,8/1/2025,"DoorDash, Inc. S Broadway ST-E4X8K8Q8H3R6"
101124935,,44.75,,7/31/2025,2025-07-27 DoorDash Capital balance_transaction_80208d26-af8b-458a-8c0f-5c019f3f
101124935,,,128.81,7/31/2025,"DoorDash, Inc. S Broadway ST-N3T5K7S9G0S6"
101124935,,1653.02,,7/30/2025,Dawn Food Produc 5177894404 XXXXX9890
101124935,,,20.00,7/30/2025,110869270 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 7/30/25 at 7:23
101124935,,,1500.00,7/30/2025,Square Inc SQ250730 T3ZKBGFQKG9ZPGR
101124935,,,22.78,7/30/2025,"DoorDash, Inc. S Broadway ST-I4I6O8A2L2S5"
101124935,,49.76,,7/30/2025,2025-07-26 DoorDash Capital balance_transaction_62d58533-e43c-4d59-b083-670b609d
101124935,,14.79,,7/29/2025,2025-07-25 DoorDash Capital balance_transaction_74c49019-94c5-4567-ac45-0d598b33
101124935,,,263.37,7/29/2025,"DoorDash, Inc. S Broadway ST-F8L5I6T2N4Y5"
101124935,,14.78,,7/29/2025,2025-07-23 DoorDash Capital balance_transaction_75e2542d-653a-47b7-83ea-c30ae7fa
101124935,,47.65,,7/29/2025,2025-07-24 DoorDash Capital balance_transaction_f7709abd-9dd1-4f70-a679-64a31cb4
101124935,,101.00,,7/29/2025,ALLY CC MOBILE PAY 252080462505250
101124935,341,1453.62,,7/29/2025,Check #341
101124935,,2.49,,7/28/2025,"AppFolio, Inc. F WEB PMTS VQ3HB5"
101124935,,,2400.00,7/28/2025,Square Inc SQ250728 T3DS11BY97DSBVW
101124935,,38.86,,7/28/2025,2025-07-22 DoorDash Capital balance_transaction_07df426b-2e67-448b-842c-8f5b2f5f
101124935,338,162.38,,7/28/2025,Check #338
101124935,,,38.75,7/28/2025,"DoorDash, Inc. S Broadway ST-I8K8G9H0B4P2"
101124935,,2200.00,,7/28/2025,Drake Management WEB PMTS 6TGW7D
101124935,,,2000.00,7/25/2025,Square Inc SQ250725 T37S6JKKYV1HVRF
101124935,340,313.08,,7/25/2025,Check #340
101124935,,,86.25,7/25/2025,"DoorDash, Inc. S Broadway ST-A9L6N5Y2Q9M1"
101124935,,100.00,,7/25/2025,CAPITAL ONE MOBILE PMT CA0AC33878CC7D4
101124935,,1239.00,,7/25/2025,IRS USATAXPYMT 221560614909311
101124935,,15.74,,7/25/2025,2025-07-21 DoorDash Capital balance_transaction_f3b52b5c-b958-4d1b-bfc3-da405c71
101124935,,,500.00,7/24/2025,Square Inc SQ250724 T3GPS65PRC3QW3P
101124935,,32.84,,7/24/2025,2025-07-20 DoorDash Capital balance_transaction_7df7f14c-4917-4813-9646-cdcce9e5
101124935,,,138.58,7/24/2025,"DoorDash, Inc. S Broadway ST-R2J9Z6I3R5P6"
101124935,337,88.15,,7/23/2025,Check #337
101124935,,57.45,,7/23/2025,2025-07-19 DoorDash Capital balance_transaction_295ecafb-930d-46e2-bd6f-8c0e8464
101124935,,,100.63,7/23/2025,"DOORDASH, INC. S BROADWAY ST-Y2R7T3B3Q0G6"
101124935,,,500.00,7/23/2025,Square Inc SQ250723 T3SC12K0N4R08XR
101124935,,2.49,,7/22/2025,"AppFolio, Inc. F WEB PMTS HYX9B5"
101124935,,11.39,,7/22/2025,2025-07-16 DoorDash Capital balance_transaction_a6accba8-c5f4-4108-90e0-6e3eff15
101124935,,,73.44,7/22/2025,"DoorDash, Inc. S Broadway ST-Y3N6W0R2Z4G6"
101124935,,7.35,,7/22/2025,2025-07-17 DoorDash Capital balance_transaction_c18cfc90-e97f-4080-a98e-9e6cc26f
101124935,,36.44,,7/22/2025,2025-07-18 DoorDash Capital balance_transaction_9af61481-2319-41c1-8ecc-3bc81e56
101124935,,400.00,,7/22/2025,119716657 Transfer to CHECKING XXXXXX8098 on 7/22/25 at 3:43
101124935,,2000.00,,7/22/2025,Drake Management WEB PMTS VHKJ7D
101124935,,,46.35,7/21/2025,"DoorDash, Inc. S Broadway ST-W7D2B7H6P0U8"
101124935,,300.00,,7/21/2025,XX1008 WITHDRAWAL 07/21 10:49 AUSTIN BANK TYLER TX TX000688 005173
101124935,,,2500.00,7/21/2025,Square Inc SQ250721 T31NWF52H7J40C0
101124935,,,90.00,7/21/2025,Deposit
101124935,,13.04,,7/21/2025,2025-07-15 DoorDash Capital balance_transaction_f7edb0d8-3adf-4a02-858a-b247e989
101124935,,,19.11,7/18/2025,GRUBHUB INC Jul Actvty 25071816fFiUCQa
101124935,,16.79,,7/18/2025,2025-07-14 DoorDash Capital balance_transaction_b345c95b-0490-4d9a-86d7-64a1f88b
101124935,,,91.25,7/18/2025,"DoorDash, Inc. S Broadway ST-V8L2X0Y5Z9O9"
101124935,,35.21,,7/17/2025,2025-07-13 DoorDash Capital balance_transaction_0bc41658-5770-40ea-8442-da6073f7
101124935,,,442.12,7/17/2025,XX1008 CREDIT 07/17 19:03 SQ *ID - BQLQVHA SAN FRANCISCO CA 77827301 463524
101124935,,,31.39,7/17/2025,"DoorDash, Inc. S Broadway ST-N7S8C6Y7P9U8"
101124935,,,1000.00,7/16/2025,Square Inc SQ250716 T3S0XY49GPY8JVN
101124935,,,393.00,7/16/2025,XX1008 CREDIT 07/16 17:57 SQ *ID - 2VJKSYE SAN FRANCISCO CA 77827301 086841
101124935,,30.00,,7/16/2025,"CHK# 00 AMT $2,252.74, NSF CHARGE"
101124935,425,408.00,,7/16/2025,Check #425
101124935,,2252.74,,7/16/2025,Dawn Food Produc 5177894404 XXXXX5733
101124935,,54.36,,7/16/2025,Ambetter HEALTH INS 000000282371066
101124935,,,114.87,7/16/2025,"DoorDash, Inc. S Broadway ST-C4R7J6N4W7R5"
101124935,,12.45,,7/16/2025,2025-07-12 DoorDash Capital balance_transaction_b1b34b22-e93d-473e-8160-5e7cea43
101124935,,744.18,,7/15/2025,TXU ENERGY TXUE_ACH 100076712201
101124935,,,90.00,7/15/2025,Deposit
101124935,,9.30,,7/15/2025,2025-07-09 DoorDash Capital balance_transaction_8ea079df-c64f-470d-a4ed-334218d5
101124935,,44.00,,7/15/2025,CAPITAL ONE CRCARDPMT 43P0D6EWEFPT9I0
101124935,,44.64,,7/15/2025,2025-07-11 DoorDash Capital balance_transaction_cba98b7a-0186-4f62-b5bc-85ad56a5
101124935,,29.54,,7/15/2025,2025-07-10 DoorDash Capital balance_transaction_9a3153c8-fe42-42d0-b07d-11b907a0
101124935,,,149.93,7/15/2025,"DoorDash, Inc. S Broadway ST-I2P6H2N0O9M4"
101124935,,,2000.00,7/14/2025,Square Inc SQ250714 T3CF4C7AJC97E1P
101124935,424,53.93,,7/14/2025,Check #424
101124935,,23.00,,7/14/2025,2025-07-08 DoorDash Capital balance_transaction_b1561780-5fec-4ccd-a792-02108148
101124935,,550.00,,7/14/2025,112135325 Transfer to CHECKING XXXXXX8098 on 7/14/25 at 8:37
101124935,,100.00,,7/14/2025,CAPITAL ONE MOBILE PMT CA0DB68021FD92E
101124935,,,71.13,7/14/2025,"DoorDash, Inc. S Broadway ST-Z5X6Q2Y0L9K7"
101124935,,,49.69,7/11/2025,"DoorDash, Inc. S Broadway ST-W2I2T9J4N5W7"
101124935,,,20.84,7/11/2025,GRUBHUB INC Jul Actvty 25071109fFiUCQa
101124935,423,177.84,,7/11/2025,Check #423
101124935,,600.00,,7/11/2025,117012520 Transfer to CHECKING XXXXXX8098 on 7/11/25 at 3:49
101124935,,26.41,,7/11/2025,2025-07-07 DoorDash Capital balance_transaction_21a27245-2529-430d-a85b-939f021a
101124935,,,806.20,7/11/2025,Payments Too Good To Go Too Good To Go B-pegwsyymtg1f1
101124935,,,162.22,7/10/2025,"DoorDash, Inc. S Broadway ST-G6J7M9U3S2B0"
101124935,,,343.87,7/10/2025,XX1008 CREDIT 07/10 15:57 SQ *ID - U9TF6IS SAN FRANCISCO CA 77827301 375377
101124935,,17.99,,7/10/2025,2025-07-06 DoorDash Capital balance_transaction_eae0c4e4-f898-458e-ace1-b59b8d71
101124935,,,2500.00,7/9/2025,Square Inc SQ250709 T3P3HBSST1YYNTX
101124935,,30.00,,7/9/2025,"CHK# 422 AMT $454.91, NSF CHARGE"
101124935,422,454.91,,7/9/2025,Check #422
101124935,,,20.71,7/9/2025,"DoorDash, Inc. S Broadway ST-D9B7U5D7Y1G6"
101124935,,58.74,,7/9/2025,2025-07-05 DoorDash Capital balance_transaction_cb8685ca-e716-4365-9223-9f9c85f9
101124935,,,490.00,7/9/2025,Deposit
101124935,,,98.25,7/9/2025,XX1008 CREDIT 07/09 15:43 SQ *ID - CWR6W5G SAN FRANCISCO CA 77827301 099424
101124935,,2100.00,,7/9/2025,113955124 Transfer to LOAN XXXXXX4969 on 7/09/25 at 6:55
101124935,,1751.95,,7/8/2025,Metro 101 RENT 243403059
101124935,,30.43,,7/8/2025,2025-07-03 DoorDash Capital balance_transaction_88ecc4eb-e1a6-4c92-91d3-4163d4b5
101124935,,,1000.00,7/8/2025,Square Inc SQ250708 T3V7S5H2ZF5MNXD
101124935,,21.95,,7/8/2025,2025-07-01 DoorDash Capital balance_transaction_e026b974-0fa5-4d03-bbb2-d4db437d
101124935,421,932.60,,7/8/2025,Check #421
101124935,,,197.23,7/8/2025,"DoorDash, Inc. S Broadway ST-W0I8G2P8D8X2"
101124935,,19.04,,7/8/2025,2025-07-02 DoorDash Capital balance_transaction_1f41804d-681f-4c80-8e2b-1a6d20fb
101124935,,7.50,,7/8/2025,2025-07-04 DoorDash Capital balance_transaction_c4b1d48f-ccd1-4816-8cd7-adbad4c5
101124935,,30.00,,7/8/2025,"CHK# 00 AMT $1,751.95, NSF CHARGE"
101124935,,1450.00,,7/8/2025,110567006 Transfer to LOAN XXXXXX4969 on 7/08/25 at 17:55
101124935,,,2000.00,7/7/2025,Square Inc SQ250704 T30JFRET20212TS
101124935,,,57.72,7/7/2025,"DoorDash, Inc. S Broadway ST-P7G4H9G4T2M7"
101124935,,,12.57,7/7/2025,GRUBHUB INC Jun Actvty 25070401fFiUCQa
101124935,,71.00,,7/7/2025,CAPITAL ONE CRCARDPMT 43NBLHGN0SZJM1O
101124935,,20.90,,7/7/2025,2025-06-30 DoorDash Capital balance_transaction_45f27ff8-de6f-4756-a33f-099b329d
101124935,,,52.61,7/3/2025,"DoorDash, Inc. S Broadway ST-L3E7W4W4V9X5"
101124935,420,91.63,,7/2/2025,Check #420
101124935,,500.00,,7/2/2025,113431816 Transfer to CHECKING XXXXXX8098 on 7/02/25 at 3:43
101124935,,,90.00,7/2/2025,Deposit
101124935,,,130.21,7/2/2025,"DoorDash, Inc. S Broadway ST-E2E0M3D5A6B1"
101124935,,120.00,,7/2/2025,CAPITAL ONE CRCARDPMT 43MH7XLEYQHFSBA
101124935,,19.04,,7/2/2025,2025-06-28 DoorDash Capital balance_transaction_5a50fad7-0fa4-4a07-8e75-9bf0b152
101124935,,47.15,,7/1/2025,2025-06-27 DoorDash Capital balance_transaction_e209aba4-1e8b-42dc-aeda-ef0971c6
101124935,,1521.72,,7/1/2025,Dawn Food Produc 5177894404 XXXXX5747
101124935,,,112.51,7/1/2025,"DOORDASH, INC. S BROADWAY ST-N8A2Q0J2J8M9"
101124935,,,1500.00,7/1/2025,Square Inc SQ250701 T3QVCMGFC62ZRGG
101124935,,443.19,,7/1/2025,SANTANDER BILLPAY XXXXX1018
101124935,,29.69,,7/1/2025,2025-06-25 DoorDash Capital balance_transaction_bd8b3ff5-4983-44ec-8182-eae8df8d
101124935,,93.00,,6/30/2025,ALLY CC MOBILE PAY 251780457789018
101124935,,7.80,,6/30/2025,2025-06-24 DoorDash Capital balance_transaction_9b4cbcea-5d13-4694-94b5-0ca1d990
101124935,,,98.25,6/30/2025,XX1008 CREDIT 06/28 18:30 SQ *ID - ZUJ4NOF SAN FRANCISCO CA 77827301 487867
101124935,,,1000.00,6/30/2025,Square Inc SQ250630 T3NWA8D0A5VRH5T
101124935,,,1040.00,6/30/2025,Deposit
101124935,,5.40,,6/30/2025,2025-06-26 DoorDash Capital balance_transaction_a5ea2018-d024-4f2d-a3f0-7bdc49dc
101124935,,,100.00,6/30/2025,Deposit
101124935,,,47.63,6/30/2025,"DoorDash, Inc. S Broadway ST-Z8T1J1S3H2S1"
101124935,,0.54,,6/27/2025,OVERDRAFT CHARGE
101124935,,30.00,,6/27/2025,"CHK# 00 AMT $17.25, NSF CHARGE"
101124935,,17.25,,6/27/2025,2025-06-23 DoorDash Capital balance_transaction_93a272da-9fcb-487b-bdbb-7d4d6648
101124935,,,71.82,6/27/2025,"DOORDASH, INC. S BROADWAY ST-Z7R5T1H3S6D4"
101124935,,,63.36,6/26/2025,"DoorDash, Inc. S Broadway ST-A5O6E7Z8H6N6"
101124935,,1239.00,,6/26/2025,IRS USATAXPYMT 221557784337157
101124935,,30.00,,6/26/2025,"CHK# 00 AMT $1,239.00, NSF CHARGE"
101124935,,,900.00,6/26/2025,Deposit
101124935,,,100.00,6/26/2025,Deposit
101124935,,,100.00,6/26/2025,Deposit
101124935,,26.01,,6/26/2025,2025-06-22 DoorDash Capital balance_transaction_735ce0f1-69e8-46a1-b3e3-820b6e84
101124935,,30.00,,6/25/2025,"CHK# 419 AMT $82.37, NSF CHARGE"
101124935,419,82.37,,6/25/2025,Check #419
101124935,,0.43,,6/25/2025,OVERDRAFT CHARGE
101124935,,30.00,,6/25/2025,"CHK# 00 AMT $22.94, NSF CHARGE"
101124935,,,61.60,6/25/2025,"DOORDASH, INC. S BROADWAY ST-M2O9M7V0W2J9"
101124935,,22.94,,6/25/2025,2025-06-21 DoorDash Capital balance_transaction_78127e86-d535-45ef-a6f0-549aa790
101124935,,,60.00,6/25/2025,NSF Fee refund
101124935,,,196.50,6/24/2025,XX1008 CREDIT 06/24 21:01 SQ *ID - XVCZD52 SAN FRANCISCO CA 77827301 717375
101124935,,,165.68,6/24/2025,"DoorDash, Inc. S Broadway ST-M7Q0X3W4Y2M1"
101124935,418,975.80,,6/24/2025,Check #418
101124935,,30.00,,6/24/2025,"CHK# 00 AMT $2,100.00, NSF CHARGE"
101124935,,24.14,,6/24/2025,2025-06-18 DoorDash Capital balance_transaction_4ea31997-20f8-442b-8a4c-94e5b60f
101124935,,,90.00,6/24/2025,Deposit
101124935,,31.36,,6/24/2025,2025-06-19 DoorDash Capital balance_transaction_ffdd4ba0-7ca5-4a6a-bce0-ac55899d
101124935,,2100.00,,6/24/2025,Drake Management WEB PMTS XHVQ2D
101124935,,,500.00,6/24/2025,Square Inc SQ250624 T3S5BXH95Y2R4H7
101124935,,2.49,,6/24/2025,"AppFolio, Inc. F WEB PMTS ZWGV75"
101124935,,19.91,,6/24/2025,2025-06-20 DoorDash Capital balance_transaction_cb7d72d8-358c-4abc-b01d-afc94f62
101124935,,,560.00,6/23/2025,Deposit
101124935,,,1500.00,6/23/2025,Square Inc SQ250623 T3GD3GQSAVY9NG0
101124935,,15.89,,6/23/2025,2025-06-16 DoorDash Capital balance_transaction_9c854924-6133-413b-9937-f874134b
101124935,416,63.41,,6/23/2025,Check #416
101124935,,,43.89,6/23/2025,"DoorDash, Inc. S Broadway ST-F8V7V6D7S5F1"
101124935,417,122.28,,6/23/2025,Check #417
101124935,,4.50,,6/23/2025,2025-06-17 DoorDash Capital balance_transaction_9023e839-443d-4f20-b298-352297b2
101124935,,1200.00,,6/20/2025,PAYMENT SBA EIDL LOAN 1965829106
101124935,,,93.19,6/20/2025,"DoorDash, Inc. S Broadway ST-K7W0V4J8Y4E2"
101124935,,,500.00,6/20/2025,Square Inc SQ250620 T322RYBB74A63V4
101124935,,30.00,,6/20/2025,"CHK# 00 AMT $1,200.00, NSF CHARGE"
101124935,,,31.08,6/20/2025,"DoorDash, Inc. S Broadway ST-E3S3Q2D5Q7R5"
101124935,,33.75,,6/20/2025,2025-06-15 DoorDash Capital balance_transaction_084d8578-db0c-4a41-9436-fa24d185
101124935,415,76.05,,6/20/2025,Check #415
101124935,,,17.63,6/20/2025,GRUBHUB INC Jun Actvty 25062018fFiUCQa
101124935,,1896.00,,6/18/2025,Dawn Food Produc 5177894404 XXXXX3461
101124935,,5.00,,6/18/2025,118989061 Transfer to CHECKING XXXXXX8098 on 6/18/25 at 9:18
101124935,,11.25,,6/18/2025,2025-06-14 DoorDash Capital balance_transaction_8bf68906-83b3-4142-acfb-c9541c10
101124935,,,100.00,6/18/2025,Deposit
101124935,,,1700.00,6/18/2025,Deposit
101124935,,,22.09,6/18/2025,"DoorDash, Inc. S Broadway ST-D5Y6Q4O6H0H7"
101124935,,,100.00,6/18/2025,Deposit
101124935,,108.72,,6/17/2025,Ambetter HEALTH INS 000000278545245
101124935,,6.05,,6/17/2025,2025-06-11 DoorDash Capital balance_transaction_720d7556-61e7-487b-9bf9-2e7a655d
101124935,,27.93,,6/17/2025,2025-06-12 DoorDash Capital balance_transaction_579a9d63-adba-41a5-9f8f-ab2801dd
101124935,,2.49,,6/17/2025,"AppFolio, Inc. F WEB PMTS F9MN75"
101124935,,,148.74,6/17/2025,"DoorDash, Inc. S Broadway ST-I6Z9Y1X1V9W5"
101124935,,8.00,,6/17/2025,2025-06-13 DoorDash Capital balance_transaction_805a4cba-d18a-4909-9527-4a5f5c27
101124935,,2000.00,,6/17/2025,Drake Management WEB PMTS Y4RB2D
101124935,,19.88,,6/16/2025,2025-06-10 DoorDash Capital balance_transaction_0e8f930a-1d88-4295-bfe5-b44a03b2
101124935,,49.00,,6/16/2025,CAPITAL ONE CRCARDPMT 43IOFQGJV7ZFN88
101124935,413,74.81,,6/16/2025,Check #413
101124935,414,807.97,,6/16/2025,Check #414
101124935,,,2500.00,6/16/2025,Square Inc SQ250616 T398D84KCB0KVN2
101124935,,11.45,,6/16/2025,XX1008 PURCHASE 06/13 13:23 MCDONALD'S F3742 TYLER TX 55572289 289433
101124935,,,69.18,6/16/2025,"DoorDash, Inc. S Broadway ST-R9Z2M8Y0C6E0"
101124935,,,500.00,6/13/2025,Square Inc SQ250613 T3GEBNHFP6AWV7J
101124935,,25.05,,6/13/2025,2025-06-09 DoorDash Capital balance_transaction_fba6ce8c-67fe-45c0-a6af-3679aa45
101124935,,,37.17,6/13/2025,"DoorDash, Inc. S Broadway ST-H8M9M7I9J1B8"
101124935,,667.60,,6/13/2025,TXU ENERGY TXUE_ACH 100076712201
101124935,,13.46,,6/12/2025,2025-06-08 DoorDash Capital balance_transaction_d6f58372-99ae-4a9c-a00c-0466ac67
101124935,,,200.00,6/12/2025,Deposit
101124935,,,41.83,6/12/2025,"DoorDash, Inc. S Broadway ST-S7W7E2V6S3E5"
101124935,,200.00,,6/12/2025,117747650 Transfer to CHECKING XXXXXX8098 on 6/12/25 at 10:42
101124935,,,106.15,6/11/2025,"DOORDASH, INC. S BROADWAY ST-S7L2P9M5S7P6"
101124935,,15.15,,6/11/2025,2025-06-07 DoorDash Capital balance_transaction_ae8ebe2f-2766-45ea-8212-a4203a36
101124935,,,500.00,6/11/2025,Square Inc SQ250611 T3YN1AP3BJ7SRAH
101124935,411,82.89,,6/11/2025,Check #411
101124935,,200.00,,6/10/2025,CAPITAL ONE MOBILE PMT 43HG8B2ALA7URF1
101124935,,,102.30,6/10/2025,"DoorDash, Inc. S Broadway ST-Z9S8T8K3S8E7"
101124935,,11.70,,6/10/2025,2025-06-05 DoorDash Capital balance_transaction_b714f768-e760-4646-bff8-e57f820c
101124935,,10.50,,6/10/2025,2025-06-04 DoorDash Capital balance_transaction_4efbb875-1964-4ed1-a31f-a197dda0
101124935,,38.44,,6/10/2025,2025-06-06 DoorDash Capital balance_transaction_6e30c2cb-6a7f-4c6a-822d-07a7ac22
101124935,410,767.19,,6/10/2025,Check #410
101124935,409,68.59,,6/9/2025,Check #409
101124935,,,32.30,6/9/2025,"DOORDASH, INC. S BROADWAY ST-D0K1Y9D5N3X2"
101124935,,14.85,,6/9/2025,2025-06-03 DoorDash Capital balance_transaction_4f92d5f5-b90b-49f5-a560-375f45b4
101124935,,,1000.00,6/9/2025,Square Inc SQ250609 T3EEZCC4E0SZBCE
101124935,,530.00,,6/9/2025,111156692 Transfer to CHECKING XXXXXX8098 on 6/09/25 at 17:14
101124935,,,59.68,6/6/2025,"DOORDASH, INC. S BROADWAY ST-Z7U6W3G2E1Z7"
101124935,,11.70,,6/6/2025,2025-06-02 DoorDash Capital balance_transaction_cc8afb59-ffe4-4277-bb1e-38023a9a
101124935,,81.00,,6/6/2025,CAPITAL ONE CRCARDPMT 43GZNG7E7ET2X5O
101124935,,,1000.00,6/5/2025,Square Inc SQ250605 T3GBGCP8J4NXGV3
101124935,408,306.00,,6/5/2025,Check #408
101124935,,,62.52,6/5/2025,"DoorDash, Inc. S Broadway ST-U9F1Z7A6V1M4"
101124935,,1751.95,,6/5/2025,Metro 101 RENT 241319602
101124935,,22.79,,6/5/2025,2025-06-01 DoorDash Capital balance_transaction_bd162d9d-45d6-49da-bfe9-05343979
101124935,,15.44,,6/4/2025,2025-05-31 DoorDash Capital balance_transaction_64ddfbfe-d86c-486c-8daa-74e5a4a4
101124935,,2020.94,,6/4/2025,Dawn Food Produc 5177894404 XXXXX5447
101124935,,,67.37,6/4/2025,"DoorDash, Inc. S Broadway ST-Q1F1K4S5B6E2"
